OBJECTID,PARID,LAND_VAL,BLDG_VAL,GlobalID
1080606,100304,19760,61590,{CF0C451F-E4CA-499E-8B8A-10635FDBE7CA}
1081046,100817,16430,47370,{3B5DD7BC-6303-4E00-8817-3B1C9766013F}
1081486,101289,6030,0,{6991CA5C-B999-4E23-9764-9DEC8A51699A}
1081926,101771,22680,268070,{F6B069C9-92FC-46E8-8550-56DD3A0629C1}
1082366,102292,15870,43530,{689DC512-E82F-448F-A46B-9BF9A9970C04}
1082661,102606,16020,60490,{0018BBD8-48BD-4A88-ADB5-BDF270948317}
1083103,103073,14060,37530,{F3206C9E-8EFC-43F0-9CE3-A6E4D98D5753}
1083692,103706,16550,45800,{90068F31-D800-4973-93CD-A44FFEC25F91}
1084428,104486,16430,69220,{7AC0B1BA-68F2-414F-8553-E0D4CA7852C3}
1085164,105264,14980,63020,{6D272A8F-91E4-4D2D-8CB3-258100C9FF37}
1086047,106219,17810,65500,{83421DE2-03B7-4641-BC34-A77301EA3655}
1086924,107149,16380,50700,{FFD433E1-BD96-4749-8CE1-F1EFAC7ADEE3}
1087656,107930,14260,55880,{3CE95565-38EB-4D90-9BE6-E2B848C2C3F8}
1088390,108703,21790,70280,{A42827D8-FC15-4A95-B02F-D0B240D1BDFF}
1089266,109636,5690,5360,{D34B3CCF-F5CC-4BB2-B613-2827F6393339}
1089998,110416,31310,0,{B32EA1EA-76F0-4523-9B3C-FF308EBC4B6F}
1090732,111233,17980,67480,{D878B0C5-9373-47FC-A433-7FDCAE971AFF}
1091608,112207,17980,68570,{2D6270F0-E446-444D-9D8A-9174099652D8}
1092340,113006,6760,0,{4A057E1B-6E76-4630-AB29-3A8523A74051}
1093221,114377,30500,53870,{A12C239F-01DA-4882-9D05-3D058BC3FBDF}
1094096,116016,66670,0,{6DF5D287-2F42-4967-9A9A-6EA1E309CB79}
1094828,200258,10110,0,{47B317CC-A136-4307-99F9-EEEA5FFCC130}
1095562,201078,42000,98480,{EDC7CCCD-E599-432A-A546-6D467E0CDC37}
1096439,202042,25620,132470,{39A06946-5DC8-4E60-A902-82F48A52DB50}
1097171,202902,728890,0,{A0E54D78-6E5E-453A-81A0-D83E15A0187D}
